,video_id,prev_job,curr_job,quitting_reasons
111,_zpkciR_p5E,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is pursuing YouTube videos full-time.","

List: 
1. Wanted to pursue creative endeavors
2. Did not want to work for someone else
3. Wanted to be part of a self-sufficient community"
112,2owkUh5I-Vk,"

It is not possible to determine the former job of the person who posted the video from the transcript alone.","

The person who posted the video appears to be a YouTuber.","

List of Reasons Why the Video Poster Left Their Previous Job:
1. Bird stuck in the garage
2. Too hot for the bird to handle
3. Loud neighbors"
113,OTp92slBaXs,"

The former job of the person who posted the video is teaching English.","

The current job of the person who posted the video is moving to Spain to teach English.","

List of Reasons for Leaving Previous Job:
1. Lack of Opportunity
2. Unsatisfactory Working Conditions
3. Desire for a Change of Scenery"
114,fAeeA-2NKwo,"

The former job of the person who posted the video is with a company for a long-term employment.","

The current job of the person who posted the video is leaving a company after six weeks of employment.","

List of Reasons for Leaving Previous Job: 
1. Mutual agreement that it was not a perfect fit 
2. High expectations of the job not being met 
3. Not enough favorable times to go home after work"
115,e-9bSFq2JF8,"

The former job of the person who posted the video is unclear.","

The current job of the person who posted the video is unemployed.","

1. Unsatisfactory working conditions
2. Unsatisfactory pay
3. Unsatisfactory job prospects"
116,qAqNFoOFn4E,"

It is not possible to determine the former job of the person who posted the video based on the provided transcript.","

The person who posted the video does not appear to have a current job.","

1. Lack of career advancement opportunities
2. Unsatisfactory work environment
3. Unfulfilled job description"
117,0MfwL28_Cbc,"

It is not possible to determine the former job of the person who posted the video from this transcript.","

It is unclear what the current job of the person who posted the video is.","

1. Unreasonable workload
2. Unfair pay
3. Poor management"
118,peqUSVeSGio,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is to resign from their position.","

1. Mental exhaustion and depression 
2. Negative impact on family 
3. Major injury suffered as a result of job"
119,FSFAUCLhKMs,"

The former job of the person who posted the video was the position they were resigning from.","

The current job of the person who posted the video is to resign from their current position.","

1. Mental exhaustion and depression
2. Negative impacts on family
3. Major injury which has gotten worse"
120,86DQ-GVZtHw,"

The person who posted the video had a job in the restaurant industry.","

The person who posted the video is currently working in a restaurant.","

List:
1. Not making enough money
2. Lack of investment in employees
3. Unsatisfactory working conditions"
121,_8HglzgeVNE,"

The former job of the person who posted the video is that they quit their job.","

The current job of the person who posted the video is that they recently quit their job and are now planning to have more time to film videos.","

List of Reasons for Leaving Previous Job:
1. Not enough time to film
2. Wanted to try something new
3. Wanted more time for winter break activities"
122,qQvWm1cg2kg,"

It is not possible to determine the former job of the person who posted the video from this transcript.","

The person who posted the video is a motivational speaker.","

List:
1. Taking risks and pursuing dreams 
2. Overcoming fear and criticism 
3. Making the most of the present moment and using one's gifts"
123,RaEt-_HcX_o,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is that they have recently quit their job.","

Reasons for Leaving Previous Job: 
1. Unfulfilled expectations 
2. Fear of disappointment 
3. Unfamiliarity with romantic emotions"
124,6dgBVYi8QBM,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is that they recently quit their job.","

List of Reasons Why the Video Poster Left Their Previous Job: 
1. Wanted to pursue a career on Tick Tock 
2. Felt their love was tainted and complicated 
3. Uncomfortable with the romantic emotions of their job"
125,L2HNrI-M_y8,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is unknown.","

Reasons for Leaving Previous Job: 
1. Wanted to pursue a career on Tick Tock
2. Felt like romantic emotions were scary
3. Was hesitant to enter unfamiliar territory"
126,lnFqRxkqqVM,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is not specified in the transcript.","

Reasons Why the Video Poster Left Their Previous Job: 
1. Wanted to pursue a career on Tick Tock 
2. Felt their love was tainted 
3. Unfamiliar with cuddling and felt awkward in romantic situations."
127,aPcHQD1iGz8,"

The person who posted the video had a former job as a 9-1-1 dispatcher.","

The person who posted the video is currently a 9-1-1 dispatcher.","

List:

1. Being forced out of the shop unwillingly
2. Someone was trying to get into their house
3. Having to deal with an emergency situation involving their daughter"
128,W6q2CR9BcUM,"

The former job of the person who posted the video appears to be a job in which they were being lied about and were in danger of being fired.","

The current job of the person who posted the video is that they recently quit their job.","

List of Reasons for Leaving Previous Job: 
1. People were making up lies about me. 
2. I was going to get fired if I got written up again.
3. I wanted to focus on learning a new skill and creating something."
129,93IWWHMdm2k,"

The former job of the person who posted the video was working at a job where they were being falsely accused of misconduct and were in danger of being fired.","

The current job of the person who posted the video is that they recently quit their job.","

List:
1. People were making up lies about the video poster.
2. The video poster was going to get fired.
3. The video poster wanted to focus on learning a new skill."
130,aWF8fCqXM7c,"

The former job of the person who posted the video was working in an office answering phone calls.","

The current job of the person who posted the video is being a YouTuber.","

List of Reasons for Quitting Job:
1. Boring and Stressful
2. Decent Savings and Stable Living Situation
3. Wanted to Try YouTube Thing"
131,LbEjSE2Ac6s,"

The former job of the person who posted the video was a full-time job and full-time college.","

The current job of the person who posted the video is full-time College.","

1. Full-time job and full-time college
2. Lack of passion
3. Difficulty adjusting to a foreign environment"
132,4Xwxx8n0RpA,"

The former job of the person who posted the video was not specified in the transcript.","

The current job of the person who posted the video is not specified. However, they mention that they want to leave their job and become a stripper.","

Reasons for Leaving Job:
1. Wanted to make more money
2. Wanted to explore alternative career paths
3. Unsatisfied with current job situation"
133,FI6l4zUkg-A,"

The former job of the person who posted the video was a corporate nine-to-five job.","

The current job of the person who posted the video is self-employed.","

List:
1. Unreasonable paid time off
2. Employer controlling your life
3. Not being able to work when desired"
134,3u0-qP314R4,"

The former job of the person who posted the video is foreign.","

The current job of the person who posted the video is a full-time job and full-time college student.","

1. Full-time job and full-time college
2. Lack of passion for the job
3. Desire to pursue other opportunities in Hollywood"
135,wWAio6fgoQk,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is that they are currently working for somebody else and putting in hard hours.","

Reasons for Leaving Previous Job:
1. Not enough time to focus on own goals.
2. Unwilling to put in hard hours for someone else's business.
3. Wanted to pursue own dreams and ambitions."
136,KcBmT_uUMTk,"

The former job of the person who posted the video was a corporate nine-to-five job.","

The current job of the person who posted the video is self-employed.","

1. Unreasonable paid time off and holiday requests
2. Lack of freedom to work when desired
3. Employer controlling your life"
137,TPDet4L8E08,"

It is not possible to determine the former job of the person who posted the video from the transcript alone.","

The person who posted the video appears to be an entrepreneur or business person who is focused on achieving their goals and being successful.","

1. Hardest worker 
2. Relentless pursuit of greatness 
3. Savage work ethic"
138,0f1AaBv829g,"

The former job of the person who posted the video was not specified.","

The current job of the person who posted the video is that they recently quit their job.","

Reasons for Leaving Previous Job: 
1. Jay needed a passport for a London trip with Coldplay.
2. Jay asked the video poster to quit their job the same day.
3. Jay didn't understand that the video poster had a job."
139,Yro8iEdz5NE,"

The former job of the person who posted the video was a corporate career.","

The current job of the person who posted the video is not specified, but it can be inferred that they left their corporate career in order to pursue a spiritual awakening.","

1. Wanted to prioritize identity and happiness
2. Followed intuition and higher self's guidance
3. Needed to leave corporate career for spiritual awakening to unfold"
140,dRkV4BRgte8,"

The former job of the person who posted the video was not specified in the transcript.","

The current job of the person who posted the video is not specified, as it is implied that they have quit their job.","

List of Reasons for Leaving Job:
1. Jay needed the speaker to get a passport for a London trip with Coldplay.
2. Jay asked the speaker to quit their job on the same day.
3. Jay didn't understand the speaker had a job to go back to."
141,wvtcFOsc3-U,"

The former job of the person who posted the video was: retired at 39.","

The current job of the person who posted the video is retired.","

List: 
1. Reached financial independence and retired at 39.
2. Took 40 hours back from employer to spend however wanted.
3. Took 40 hours back to do whatever wanted."
142,TlLnpyO0m7k,"

The former job of the person who posted the video was a nine-to-five job.","

The current job of the person who posted the video is making YouTube videos and building a community of like-minded and money-focused YouTubers.","

List: 
1. Financial instability 
2. Mental health issues 
3. Difficulty creating strategic relationships"
143,UMJR76Wlrp0,"

The former job of the person who posted the video was sales.","

The current job of the person who posted the video is quitting their six-figure job in sales at 24 to take a chance on themselves.","

List:
1. Making a six-figure salary in sales at 24
2. Working long hours with no time for self-care
3. Realizing the importance of building strong relationships and exploring new things for personal growth"
144,-9UpIZFY5dc,"

The former job of the person who posted the video was a cabinet maker.","

The current job of the person who posted the video is cabinet maker.","

Reasons for Leaving Previous Job:
1. Wanted to experience more exciting things in life
2. Wanted to find a greater sense of purpose
3. Wanted to make a bigger life decision than staying in the 9 to 5 work system"
145,O_TbMwTpcuE,"

The former job of the person who posted the video is a tech consulting company.","

The current job of the person who posted the video is tech consulting.","

Reasons for Leaving Previous Job:
1. No raises or promotions
2. Outdated technology
3. Not enough time to upskill while working full-time"
146,q0HVFVV6U80,"

The former job of the person who posted the video was lifeguarding.","

The current job of the person who posted the video is not specified.","

List: 
1. Denied vacation request 
2. Boss said to take a course that did not certify license 
3. Suspended from work and partially lost license"
147,E2hvoQv3mxk,"

The former job of the person who posted the video is working in corporate America.","

The current job of the person who posted the video is that they recently quit their job to pursue an electric life.","

1. Pursuing an electric life 
2. Not having to work in corporate America 
3. Traveling for the last week"
148,0vQp40AGvdI,"

The former job of the person who posted the video was working at a motel as the front desk 24/7.","

The person who posted the video is currently transitioning from working at a motel front desk 24/7 to moving to Toronto to find a new job.","

List:
1. Girlfriend's boss told her she couldn't work from home anymore.
2. Wanted to move with his girlfriend back to Toronto.
3. Difficult to find someone to take over his job at the motel."
149,ZmJD_KBs0rI,"

The former job of the person who posted the video was a Senior Software Application Consultant/Automation Test Engineer.","

The current job of the person who posted the video is a Senior Software Application Consultant and an Automation Test Engineer.","

Reasons for Leaving Previous Job:
1. Wanted to help people get their jobs
2. Wanted to pursue a career in communication improvement
3. Wanted to take a risk and pursue a higher salary"
150,aPoGf0bTEEs,"

The former job of the person who posted the video is not stated.","

The current job of the person who posted the video is giving Granny-style advice to fans who have sent in questions.","

Reasons Why the Video Poster Left Their Previous Job:
1. Immature and annoying work environment.
2. Red flags were present.
3. Wanted to find a job that was a better fit."
151,w-Ib6ONpUso,"

The former job of the person who posted the video was not specified.","

The person who posted the video is currently unemployed.","

1. Unfulfilled career aspirations
2. Unsatisfactory working conditions
3. Lack of job security"
152,AakkduirlUI,"

The former job of the person who posted the video is unknown.","

The current job of the person who posted the video is unemployed.","

1. Lack of job satisfaction 
2. Unfulfilling work environment 
3. Unsustainable work-life balance"
153,gJWbdQFGhG4,"

There is not enough information provided to answer this question.","

The person who posted the video does not currently have a job, as the video is a musical performance.","

1. Unsatisfactory salary 
2. Unfulfilling work environment 
3. Lack of career advancement opportunities"
154,CHuGMzAc2IM,"

The former job of the person who posted the video is staff at the BBC.","

The current job of the person who posted the video is staff at the BBC.","

List of Reasons for Leaving Previous Job:
1. Accepted a place on a 12-month full-time commercial helicopter pilot training course.
2. Wanted to do something he had wanted to do since he was a small boy.
3. Wanted to follow his dream and do something new and exciting."
155,STZFrg4l5QQ,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is not stated in the transcript.","

List: 
1. Hated their job 
2. Wanted to figure out how to make money in a few weeks 
3. Wanted to focus on their relationship with themselves and food"
156,bXpZpxmZCXQ,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is taking a break from their job to refresh themselves and travel.","

List: 
1. Unhappiness with their job 
2. Wanting to try something new 
3. Taking a break to refresh themselves"
157,ShUbt1_p2zs,"

The former job of the person who posted the video was a barista.","

The person who posted the video currently works as a barista, serving coffee and making coffee at drive-throughs in Washington.","

List: 
1. Did not appreciate the way boss was treating them
2. Wanted to become more independent
3. Needed a place to get away and rethink life"
158,gkaaN68gMeY,"

It is not possible to answer this question based on the given information.","

The person who posted the video does not currently have a job.","

1. Unsatisfactory working conditions
2. Low pay
3. Lack of career progression"
159,lsx_T1zB3jA,"

The former job of the person who posted the video is not specified.","

The person who posted the video currently has a job.","

1. Lender calls HR department to verify employment before closing.
2. People used to get loan approval and then quit their job.
3. Quitting your job is not a good plan."
160,yW1BjhocyU0,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is not specified.","

1. Unfulfilling work
2. Unsatisfactory pay
3. Unhappy work environment"
161,8f0L6migSjg,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is ""quitting their job"".","

List:
1. Lack of creative freedom 
2. Feeling unfulfilled 
3. Realizing that happiness comes from sharing experiences with others"
162,jIwEkWPc3Fg,"

The former job of the person who posted the video is not specified in the transcript.","

The person who posted the video has recently quit their job and is currently in the process of moving to a new location.","

Reasons why the video poster left their previous job: 
1. Wanted to launch business 
2. Wanted to make a change 
3. Did not want to stay in Toronto"
163,5_k_6hcrXdI,"

The former job of the person who posted the video was in the corporate world.","

The person who posted the video is currently building their brand and serving the community.","

1. Wanted to take matters into their own hands
2. Wanted to invest in themselves
3. Wanted to be part of a historical moment"
164,FVkrRo53AAs,"

The former job of the person who posted the video is unclear.","

The person who posted the video appears to currently have a job.","

1. Needed more money
2. Unsatisfied with job
3. Wanted more career opportunities"
165,w67Euzu-AKU,"

The former job of the person who posted the video was directing and shooting all the videos for a billion dollar fashion brand.","

The person who posted the video is currently directing and shooting videos for a billion dollar fashion brand.","

1. Wanted to write a novel
2. Wanted to direct and shoot videos
3. Wanted to experience a photo shoot in Italy"
166,zzwvYtuTgAk,"

The former job of the person who posted the video is a corporate job.","

The person who posted the video is currently building their brand and serving the community.","

List of Reasons for Leaving Previous Job:
1. Wanted to take matters into their own hands.
2. Wanted to invest in themselves.
3. Wanted to build their own brand and serve the community."
167,4WiwyCTl8sA,"

The former job of the person who posted the video was building someone else's future.","

The current job of the person who posted the video is unemployed.","

1. Sick and tired of building someone else's future
2. Stress and uncertainty
3. Want to put energy and time into own reality"
168,hZnXMhkvYpc,"

The former job of the person who posted the video was not specified.","

The current job of the person who posted the video is a personal trainer and nutrition specialist.","

1. Called off wedding
2. Quit job
3. Cut hair"
169,AscjgEcRU9o,"

The former job of the person who posted the video was a nurse in New Zealand.","

The current job of the person who posted the video is traveling.","

1. To travel the world
2. To explore different cultures
3. To experience new things"
170,Ll9SeL5w9tg,"

The former job of the person who posted the video was a nurse in New Zealand.","

The current job of the person who posted the video is traveling.","

1. To travel the world
2. To explore a different lifestyle
3. To pursue a utopian vision"
171,iSot0LU2zyM,"

The former job of the person who posted the video is working at Wendy's.","

The current job of the person who posted the video is working at McDonald's.","

List:
1. Managers did not like the video poster.
2. Co-workers were rude and ignorant.
3. The video poster was paid less than minimum wage."
172,YLNK9pzAMNw,"

The person who posted the video's former job was working since they graduated until now.","

The current job of the person who posted the video is that they have gotten a job and have been working since they graduated. They also mention that their last job gave them the opportunity to get their feet wet in programming and they are now back in school to learn more.","

List of Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to work instead of going to graduate school
2. Wanted to get experience in programming
3. Had more responsibilities in life"
173,p3thfcQRw9o,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is giving financial advice.","

List of Reasons for Leaving Previous Job:
1. Mental health issues or anxieties caused by job
2. Risky to leave job in current climate with the pandemic and job losses
3. Need to be financially smart and prudent in current season and save money for future uncertainity"
174,JRz5v4meoI4,"

The person who posted the video did not mention a former job.","

The person who posted the video is a YouTuber. They create and post videos for their audience.","

1. Unsatisfactory pay
2. Unfulfilling work environment
3. Lack of career advancement opportunities"
175,9ctsyq5ark0,"

It is not possible to determine the former job of the person who posted the video from the transcript alone.","

It is not possible to determine the current job of the person who posted the video from the given transcript.","

1. Unsatisfying work environment
2. Lack of career growth opportunities
3. Unfulfilling job duties"
176,WRON9u-9C4Y,"

The former job of the person who posted the video was not specified in the transcript.","

The current job of the person who posted the video is that they recently quit their job and are now traveling to Europe to reconnect with their ex-boyfriends.","

1. Not happy with current job
2. Hoping to find love
3. Reconnecting with ex-boyfriends"
177,oqdd4N7BWok,"

The former job of the person who posted the video was working at Walmart.","

The current job of the person who posted the video is that they have recently resigned from Walmart and are now starting a new job.","

List of Reasons for Leaving Job:
1. Resigned after job design 
2. Terminated for stealing or something similar 
3. Started a new journey with a new job"
178,8nPgLDrgZRE,"

The former job of the person who posted the video was working at an electronic retail store.","

The current job of the person who posted the video is working full-time.","

Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to make room for YouTube
2. Needed extra cash in the pocket
3. Wanted to prioritize YouTube over the part-time job"
179,bp6YpAtfluA,"

The former job of the person who posted the video was a retail position.","

The current job of the person who posted the video is a young salaried professional.","

List:
1. Minimum wage work
2. Limited access to benefits plans
3. Reliability of hours"
180,UYO5z2S04D0,"

The former job of the person who posted the video is foreign.","

The person who posted the video is a foreign car mechanic.","

List of Reasons for Leaving Previous Job:
1. Foreign
2. Not Easy
3. Disgusting Work Environment"
181,Nxotm8Atf9I,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is not specified in the transcript.","

Reasons for Leaving Previous Job: 
1. Wanted to pursue career on Tick Tock 
2. Felt too complicated for romantic relationships 
3. Unfamiliar with cuddling and felt awkward in intimate situations"
182,ZYKoDucwFIk,"

The former job of the person who posted the video is working in a field of work for 24 years.","

The person who posted the video currently has a part-time job making $300 a week.","

List:
1. Spend more time with family 
2. Quit to reduce household expenses 
3. Math observation that the part-time job is not moving the needle much on the debt"
183,5tgyiI3bBmc,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is real estate.","

List: 
1. Hate their current job 
2. Sell rental house to get capital 
3. Start a side hustle while still doing realty work for other people"
184,gSahCtfw0r0,"

The former job of the person who posted the video was a full-time and part-time job with stable bi-weekly pay and health benefits.","

The current job of the person who posted the video is building their own business in real estate.","

Reasons for Leaving Previous Job:
1. I quit two jobs with no idea when I would get paid.
2. No steady paycheck or savings to pay bills.
3. Needed to focus on building my own business."
185,h0xA4t7UleA,"

The former job of the person who posted the video was working at Popeye's Chicken.","

The current job of the person who posted the video is working at Popeye's Chicken.","

List of Reasons for Leaving:
1. Lack of Education and Criminal Record
2. Disgusting Working Conditions
3. Desire for a Better Life"
186,dJ2C94C1uxg,"

The former job of the person who posted the video was working at Costco.","

The current job of the person who posted the video is not specified.","

Reasons why the video poster left their previous job:
1. Unfair treatment of headbands 
2. Unreasonable rules regarding headbands 
3. Being forced to wear elastic bands in their hair"
187,0p32Mx7gTkw,"

The former job of the person who posted the video was a full-time job for a year and a half.","

The current job of the person who posted the video is that they just quit their job to travel full-time.","

List of Reasons for Leaving Job:
1. Wanted to pursue full-time traveling 
2. Wanted to spend time writing vlogs and making videos 
3. Wanted to focus on health and fitness"
188,s7A4BPLUgKs,"

The former job of the person who posted the video was a 3-month or 6-month adjuster handling really intense injuries, including fatalities on accident.","

The current job of the person who posted the video is an insurance adjuster handling injury claims.","

Reasons Why the Video Poster Left Their Previous Job:
1. Handling traumatic fatalities on accident.
2. Having to take recorded statements for severe injuries.
3. Fear of staying in the job long term."
189,Q54OUhZ7fnU,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is an attorney providing disability law services.","

Reasons to Leave Previous Job: 
1. Don't quit your job before applying for disability insurance benefits. 
2. If you make the application and your employer terminates you later, it will be difficult to get your claim approved. 
3. Ask your employer HR for a copy of your policy so you know your rights and don't tip your hat that you might be looking at following a disability claim."
190,7Zvctvsk9Kw,"

The person who posted the video was formerly a customer service representative.","

The person who posted the video is a customer service representative.","

List: 
1. Unmotivated work environment 
2. Poor customer service 
3. Unreliable technology"
191,gU89j7splXk,"

The former job of the person who posted the video was working at a Japanese restaurant.","

The current job of the person who posted the video is a YouTuber.","

List:
1. Low pay
2. Long hours
3. Lack of monetization"
